timestamp,datetime,ax,ay,az,gx,gy,gz,spo2,finger_detected
1759741590.551,2025-10-06 10:06:30.551,0.0681,-0.0027,0.8718,2.2519,0.1527,-2.5191,,True
1759741590.683,2025-10-06 10:06:30.682,0.0686,-0.0051,0.8799,2.1756,-0.0916,-2.7634,,True
1759741590.815,2025-10-06 10:06:30.814,0.0742,-0.0073,0.886,2.4962,-0.2519,-2.5878,,True
1759741590.954,2025-10-06 10:06:30.953,0.0735,-0.0076,0.8682,2.5954,-0.0687,-2.7252,,True
1759741591.085,2025-10-06 10:06:31.085,0.0718,-0.0061,0.8779,2.5115,-0.0458,-2.6412,,True
1759741591.217,2025-10-06 10:06:31.217,0.0718,0.0,0.8787,2.2977,-0.0611,-2.8244,,True
1759741591.357,2025-10-06 10:06:31.356,0.0732,-0.0024,0.8416,2.1679,-0.084,-2.687,,True
1759741591.488,2025-10-06 10:06:31.488,0.0693,0.0,0.8813,2.0382,0.1908,-2.5802,,True
1759741591.627,2025-10-06 10:06:31.627,0.0725,-0.0027,0.8838,2.4809,-0.3282,-2.6183,,True
1759741591.759,2025-10-06 10:06:31.759,0.0698,-0.0051,0.877,2.5115,-0.229,-2.6718,,True
1759741591.891,2025-10-06 10:06:31.891,0.0742,0.0027,0.8789,2.374,-0.1221,-2.5038,,False
1759741592.031,2025-10-06 10:06:32.030,0.0742,-0.0054,0.8801,2.3817,-0.1985,-2.7023,,False
1759741592.164,2025-10-06 10:06:32.164,0.073,-0.0044,0.8774,2.5802,-0.084,-2.8321,,False
1759741592.314,2025-10-06 10:06:32.314,0.0747,-0.0044,0.8835,2.1756,0.0534,-2.6718,,False
1759741592.446,2025-10-06 10:06:32.445,0.0691,-0.0027,0.8826,2.5344,-0.1069,-2.5649,,False
1759741592.577,2025-10-06 10:06:32.577,0.073,-0.0071,0.8833,2.2137,0.1069,-2.3435,,False
1759741592.709,2025-10-06 10:06:32.709,0.0696,-0.0029,0.8794,2.6412,-0.1527,-2.6412,,False
1759741592.841,2025-10-06 10:06:32.841,0.0713,-0.0029,0.8757,2.5267,-0.0229,-2.8092,,False
1759741592.973,2025-10-06 10:06:32.972,0.0767,-0.0044,0.877,2.626,0.0305,-2.6107,,False
1759741593.112,2025-10-06 10:06:33.112,0.074,-0.0051,0.8804,2.6183,-0.2824,-2.4656,,False
1759741593.244,2025-10-06 10:06:33.244,0.0732,-0.0037,0.8704,2.5115,-0.1221,-2.6947,,False
1759741593.377,2025-10-06 10:06:33.376,0.0662,-0.0049,0.8816,2.542,-0.2443,-2.7176,,False
1759741593.516,2025-10-06 10:06:33.516,0.0728,-0.0017,0.8738,2.2366,0.1908,-2.5725,,False
1759741593.649,2025-10-06 10:06:33.649,0.0701,-0.0029,0.8782,2.3435,-0.1298,-2.313,,False
1759741593.781,2025-10-06 10:06:33.781,0.0723,-0.0034,0.8809,2.4656,-0.2366,-2.5496,,False
1759741593.906,2025-10-06 10:06:33.905,0.0732,-0.0012,0.8723,2.3969,0.0763,-2.6565,,False
1759741594.048,2025-10-06 10:06:34.047,0.0757,-0.0034,0.8777,2.2672,-0.1221,-2.8473,,False
1759741594.186,2025-10-06 10:06:34.186,0.0728,-0.0066,0.8792,2.5191,0.084,-2.5649,,False
1759741594.328,2025-10-06 10:06:34.328,0.0762,-0.0024,0.8796,2.4504,-0.0611,-2.7099,,False
1759741594.461,2025-10-06 10:06:34.461,0.0737,-0.0063,0.8833,2.3206,-0.0153,-2.7328,,False
1759741594.593,2025-10-06 10:06:34.593,0.0723,-0.0059,0.8801,2.6031,0.0611,-2.7634,,False
1759741594.725,2025-10-06 10:06:34.725,0.0752,-0.0071,0.8745,2.5573,0.0076,-2.6489,,False
1759741594.859,2025-10-06 10:06:34.858,0.0732,-0.0059,0.8787,2.6489,-0.1145,-2.4656,,False
1759741594.999,2025-10-06 10:06:34.998,0.071,-0.0063,0.8801,2.3817,-0.1832,-2.8092,,False
1759741595.131,2025-10-06 10:06:35.131,0.075,-0.0049,0.8789,2.5649,-0.1832,-2.6031,,False
1759741595.263,2025-10-06 10:06:35.262,0.0725,-0.0032,0.8826,2.2672,0.2214,-2.8321,,False
1759741595.405,2025-10-06 10:06:35.404,0.071,-0.0027,0.8855,2.3435,-0.1527,-2.7252,,False
1759741595.537,2025-10-06 10:06:35.536,0.0701,-0.0046,0.8774,2.458,0.0611,-2.7252,,False
1759741595.681,2025-10-06 10:06:35.680,0.0723,-0.0042,0.8787,2.3435,-0.3664,-2.8702,,False
1759741595.813,2025-10-06 10:06:35.812,0.0718,-0.0071,0.8733,2.4046,0.0305,-2.6489,,False
1759741595.944,2025-10-06 10:06:35.943,0.0703,-0.0076,0.8809,2.2595,0.0153,-2.458,,False
1759741596.083,2025-10-06 10:06:36.083,0.0725,-0.0027,0.8787,2.4275,-0.0916,-2.626,,False
1759741596.215,2025-10-06 10:06:36.215,0.0693,-0.0046,0.8784,2.5649,-0.1145,-2.6489,,False
1759741596.366,2025-10-06 10:06:36.365,0.0703,-0.0037,0.8828,2.542,-0.1145,-2.6641,,False
1759741596.505,2025-10-06 10:06:36.505,0.0691,0.0002,0.8745,2.5344,-0.2901,-2.7634,,False
1759741596.639,2025-10-06 10:06:36.638,0.0713,-0.0012,0.8801,2.458,0.1221,-2.6336,,False
1759741596.763,2025-10-06 10:06:36.763,0.0715,-0.0051,0.8816,2.5878,0.2977,-2.626,,False
1759741596.888,2025-10-06 10:06:36.887,0.0745,-0.0049,0.874,2.4656,0.0,-2.5878,,False
1759741597.028,2025-10-06 10:06:37.028,0.0757,-0.0044,0.8813,2.313,0.0,-2.7557,,False
1759741597.16,2025-10-06 10:06:37.159,0.0735,-0.0056,0.8865,2.084,0.1985,-2.8397,,False
