timestamp,datetime,ax,ay,az,gx,gy,gz,temp,bpm,spo2,finger_detected,bp_systolic,bp_diastolic,bp_estimated
1757668770.698,2025-09-12 10:19:30.697,0.0366,0.0076,0.8875,2.4046,-0.084,-2.6489,41.42,66.5,98.452434,True,,,False
1757668770.766,2025-09-12 10:19:30.766,0.04,0.0105,0.8779,2.4046,-0.4656,-2.5115,41.71,68.0,98.452434,True,,,False
1757668770.834,2025-09-12 10:19:30.834,0.0378,0.0054,0.8853,2.3969,-0.4351,-2.4885,41.8,70.5,98.607,True,,,False
1757668770.894,2025-09-12 10:19:30.893,0.0366,0.0037,0.8916,2.5573,-0.626,-2.855,41.71,78.5,98.889096,True,,,False
1757668770.945,2025-09-12 10:19:30.945,0.0366,0.0076,0.8867,2.5038,-1.0153,-2.6947,41.75,86.5,98.889096,True,,,False
1757668771.005,2025-09-12 10:19:31.004,0.0422,0.0098,0.8796,2.4427,0.0992,-2.6412,41.75,91.5,97.11813599999999,True,,,False
1757668771.064,2025-09-12 10:19:31.064,0.0359,0.012,0.876,2.3969,-0.9695,-2.6412,41.71,94.0,97.11813599999999,True,,,False
1757668771.124,2025-09-12 10:19:31.124,0.0364,0.0081,0.886,2.3359,-0.3664,-2.7252,41.71,91.0,97.11813599999999,True,,,False
1757668771.184,2025-09-12 10:19:31.184,0.0356,0.0051,0.8823,2.542,0.2595,-2.9389,41.71,88.0,97.11813599999999,True,,,False
1757668771.244,2025-09-12 10:19:31.244,0.0388,0.0049,0.8826,2.3588,-0.9237,-2.5725,41.47,88.0,97.11813599999999,True,,,False
1757668771.303,2025-09-12 10:19:31.303,0.0386,0.0095,0.887,2.458,0.0229,-2.6412,41.89,88.0,97.11813599999999,True,,,False
1757668771.363,2025-09-12 10:19:31.363,0.0364,0.0115,0.8755,2.3969,-0.6641,-2.7023,41.61,88.0,97.11813599999999,True,,,False
1757668771.423,2025-09-12 10:19:31.422,0.0339,0.009,0.8909,2.4275,-0.2061,-2.6718,41.89,86.75,99.016626,True,,,False
1757668771.483,2025-09-12 10:19:31.482,0.0374,0.0093,0.8816,2.3969,0.1221,-2.8397,41.89,85.5,99.016626,True,,,False
1757668771.542,2025-09-12 10:19:31.542,0.0378,0.0073,0.8833,2.3893,-0.687,-2.7863,41.71,84.25,97.11813599999999,True,,,False
1757668771.602,2025-09-12 10:19:31.601,0.0381,0.0061,0.885,2.3511,-0.2748,-2.7023,41.89,83.0,99.016626,True,,,False
1757668771.661,2025-09-12 10:19:31.661,0.0378,0.009,0.8853,2.6489,0.0992,-2.4275,41.71,83.0,99.016626,True,,,False
1757668771.721,2025-09-12 10:19:31.721,0.0386,0.011,0.886,2.626,-0.1298,-2.7176,41.57,83.0,99.016626,True,,,False
1757668771.773,2025-09-12 10:19:31.772,0.0386,0.0061,0.8799,2.5496,-0.3588,-2.9771,41.75,83.0,99.016626,True,,,False
1757668771.826,2025-09-12 10:19:31.825,0.0356,0.01,0.8833,2.4275,-0.3206,-2.7481,41.71,91.0,98.889096,True,,,False
1757668771.883,2025-09-12 10:19:31.882,0.0371,0.0081,0.887,2.5191,-0.4962,-2.6336,41.75,97.0,98.889096,True,,,False
1757668771.943,2025-09-12 10:19:31.942,0.0344,0.0098,0.8845,2.5496,-0.5344,-2.7252,41.8,103.0,98.889096,True,,,False
1757668772.003,2025-09-12 10:19:32.002,0.033,0.0076,0.8833,2.4885,-0.6489,-2.6031,41.71,109.0,98.889096,True,,,False
1757668772.054,2025-09-12 10:19:32.054,0.0354,0.011,0.8943,2.5573,-0.1298,-2.5802,41.71,107.0,98.889096,True,,,False
1757668772.099,2025-09-12 10:19:32.099,0.0374,0.0073,0.8757,2.4656,-0.7557,-2.7939,41.71,109.0,98.889096,True,,,False
1757668772.143,2025-09-12 10:19:32.143,0.0354,0.0056,0.8821,2.2443,-0.2214,-2.6794,41.61,111.0,98.889096,True,,,False
1757668772.193,2025-09-12 10:19:32.192,0.0364,0.0085,0.887,2.3206,-0.6336,-2.9008,41.75,111.0,98.889096,True,,,False
1757668772.244,2025-09-12 10:19:32.244,0.0396,0.0051,0.8865,2.458,-0.3664,-2.8779,41.75,113.0,98.889096,True,,,False
1757668772.296,2025-09-12 10:19:32.296,0.0354,0.0081,0.8828,2.4351,-0.2366,-2.7023,41.8,113.0,99.43662599999999,True,,,False
